candidate	wave	frozen_status	failure_reason	ED	accuracy	exact	prefix_per_second	harmful_correction	bbs_trio_safe	frozen_timestamp
PIMC	10	frozen_fullish_fail	bbs_trio_group;safety	4.3244	0.9657	0.3401	468.13	0.0951	false	2026-07-06
DRPC	10	frozen_fullish_fail	speed;bbs_trio_group;safety	4.2096	0.9672	0.3720	234.66	0.0771	false	2026-07-06
CENF	10	frozen_fullish_fail	bbs_trio_group;safety	4.2982	0.9659	0.3444	444.98	0.0919	false	2026-07-06
BLEM	11	frozen_fullish_fail	bbs_trio_group;safety	4.3121	0.9658	0.3399	464.80	0.0964	false	2026-07-06
PSWP	11	frozen_fullish_fail	bbs_trio_group;safety	4.3061	0.9659	0.3414	458.48	0.0950	false	2026-07-06
NEDP	11	frozen_fullish_fail	bbs_trio_group;safety	4.2982	0.9659	0.3444	444.98	0.0919	false	2026-07-06
CSWRC	11	frozen_fullish_fail	bbs_trio_group;safety	4.3055	0.9659	0.3393	405.24	0.0965	false	2026-07-06
SDWMDP	11	frozen_fullish_fail	speed;bbs_trio_group;safety	4.0338	0.9687	0.4104	186.91	0.0596	false	2026-07-06
ALHC	11	frozen_fullish_fail	bbs_trio_group;safety	4.3116	0.9658	0.3391	468.39	0.0971	false	2026-07-06
TMICNE	11	frozen_fullish_fail	bbs_trio_group;safety	4.3228	0.9657	0.3396	464.84	0.0958	false	2026-07-06
EPMC	12	resume_frozen_fail	bbs_trio_group;safety	4.3173	0.9657	0.3409	568.48	0.0868	false	2026-07-06
DRNC	12	resume_frozen_fail	bbs_trio_group;safety	4.3251	0.9657	0.3396	568.19	0.0885	false	2026-07-06
CPMC	12	resume_frozen_fail	bbs_trio_group;safety	4.3177	0.9657	0.3390	568.18	0.0959	false	2026-07-06
LEMSC	13	resume_frozen_fail	bbs_trio_group;safety	4.3197	0.9657	0.3388	568.15	0.0963	false	2026-07-06
NODC	13	resume_frozen_fail	bbs_trio_group;safety	4.3101	0.9658	0.3391	567.22	0.0971	false	2026-07-06
RSPC	13	resume_frozen_fail	bbs_trio_group;safety	4.3169	0.9658	0.3390	568.18	0.0959	false	2026-07-06
IPDP	14	resume_frozen_fail	bbs_trio_group;safety	4.3428	0.9655	0.3409	569.60	0.0756	false	2026-07-06
OCMC	14	resume_frozen_fail	bbs_trio_group;safety	4.3488	0.9655	0.3422	569.34	0.0759	false	2026-07-06
SDEC	14	resume_frozen_fail	bbs_trio_group;safety	4.3236	0.9657	0.3430	568.63	0.0825	false	2026-07-06
ITMDP	15	resume_frozen_fail	bbs_trio_group;safety	4.3190	0.9657	0.3394	568.16	0.0951	false	2026-07-06
NEDLR	15	resume_frozen_fail	bbs_trio_group;safety	4.3255	0.9657	0.3390	568.21	0.0927	false	2026-07-06
ALMEC	15	resume_frozen_fail	bbs_trio_group;safety	4.3190	0.9657	0.3407	568.64	0.0857	false	2026-07-06
LSDC	16	resume_frozen_fail	bbs_trio_group;safety	4.3181	0.9657	0.3389	568.22	0.0958	false	2026-07-06
CREC	16	resume_frozen_fail	bbs_trio_group;safety	4.3286	0.9656	0.3438	569.47	0.0722	false	2026-07-06
MCLP	16	resume_frozen_fail	bbs_trio_group;safety	4.3230	0.9657	0.3391	568.33	0.0938	false	2026-07-06
DSEC	17	resume_frozen_fail	bbs_trio_group;safety	4.3015	0.9659	0.3427	568.52	0.0820	false	2026-07-06
PNEC	17	resume_frozen_fail	bbs_trio_group;safety	4.3088	0.9658	0.3420	568.63	0.0832	false	2026-07-06
SPLR	17	resume_frozen_fail	bbs_trio_group;safety	4.3306	0.9656	0.3441	569.62	0.0723	false	2026-07-06
QGEC	18	resume_frozen_fail	bbs_trio_group;safety	4.2955	0.9659	0.3468	568.85	0.0774	false	2026-07-06
BLCM	18	resume_frozen_fail	bbs_trio_group;safety	4.2856	0.9660	0.3487	568.63	0.0763	false	2026-07-06
ONRC	18	resume_frozen_fail	bbs_trio_group;safety	4.2924	0.9660	0.3471	568.83	0.0770	false	2026-07-06
FHLR	19	wave19_frozen_fail	bbs_trio_group;quality_thin	4.4169	0.9651	0.3334	480.75	0.0033	false	2026-07-07
NCPC	19	wave19_frozen_fail	bbs_trio_group;quality_thin	4.4287	0.9650	0.3324	516.38	0.0032	false	2026-07-07
CSDP	19	wave19_frozen_fail	bbs_trio_group;quality_thin	4.4332	0.9650	0.3320	513.71	0.0033	false	2026-07-07
CSPC	20	wave20_frozen_fail	quality;bbs_trio;safety	4.3936	0.9653	0.3392	767.09	0.1039	false	2026-07-07
ACDC	20	wave20_frozen_fail	bbs_trio;safety	4.2901	0.9660	0.3485	775.50	0.0703	false	2026-07-07
MEPC	20	wave20_frozen_fail	quality;bbs_trio;safety	4.4167	0.9651	0.3334	716.38	0.1239	false	2026-07-07
DICEC	ACDC_refinement	DICEC_refinement_fail	bbs_trio;safety	4.2793	0.9661	0.3486	742.58	0.0690	false	2026-07-07
__RESERVED__	__RESERVED__	do_not_delete_or_modify	immutable_bridge_v2_history	__RESERVED__	__RESERVED__	__RESERVED__	__RESERVED__	__RESERVED__	__RESERVED__	__RESERVED__
