artifact_role	local_path	raw_url	exists	sha256	status
number_lock	results/final_result_cross_validation_20260711/FINAL_RESULT_LOCK_V1.tsv	server-local-only	yes	d6a32e60d575256109ce50238ef5ab339253f133794c81143d7e4efa3f8f588a	pass
paper_number_lock	results/final_result_cross_validation_20260711/PAPER_NUMBER_LOCK_CN.md	server-local-only	yes	30306e5fe8faee29ebb0016b8b3be144131a8396f0535433f5c5b7473a562b96	pass
final_report	results/final_result_cross_validation_20260711/FINAL_RESULT_CROSS_VALIDATION_REPORT_CN.md	server-local-only	yes	d41a1db6234a637c780829f3c535ecb0d1c6c1b8fa53ae06e610f013a808790a	pass
paper_sync_candidate	results/final_result_cross_validation_20260711/PAPER_SYNC_CANDIDATE_P0_CN.md	server-local-only	yes	80511b5b114d5ce8945b4734dc88a051ddd55b32f661d62a9d8c0b3dd1917e8e	pass
runtime_repeats	results/final_result_cross_validation_20260711/RUNTIME_REPEATABILITY.tsv	server-local-only	yes	05c2c51189e056a53ba8ae05a71cede4837332e6d81ffbfdf30966bdaa0ac995	pass
claim_recheck	results/final_result_cross_validation_20260711/CURRENT_CLAIM_RECHECK.tsv	server-local-only	yes	a06ee2245af51f19ce2c4c5e56707a4908fad26dd5e08af9d8f661d04acd3961	pass
no_leakage_report	results/final_result_cross_validation_20260711/NO_LEAKAGE_AUDIT_CN.md	server-local-only	yes	d2f8bda56a331d0bb4d4c01d57600459ed8e97eabb756f2ab646339c6718bd99	pass
artifact_manifest	results/final_result_cross_validation_20260711/final_artifact_manifest.tsv	server-local-only	yes	8b8ffd926b15e8cc1e9823b4c2c7721b4ffffa2fa592be937767065be0292b57	pass
chatgpt_entry	chat_bridge/LATEST_FOR_CHATGPT.md	https://raw.githubusercontent.com/Jarvis5272/caor-chat-bridge/main/chat_bridge/LATEST_FOR_CHATGPT.md	generated	generated_after_write	pass
machine_state	chat_bridge/LATEST_RESULT.json	https://raw.githubusercontent.com/Jarvis5272/caor-chat-bridge/main/chat_bridge/LATEST_RESULT.json	generated	generated_after_write	pass
paper_sync	chat_bridge/PAPER_SYNC_LATEST.md	https://raw.githubusercontent.com/Jarvis5272/caor-chat-bridge/main/chat_bridge/PAPER_SYNC_LATEST.md	generated	generated_after_write	pass
